Fecha,Indicador
1/01/2009,69.56
1/02/2009,69.92
1/03/2009,70.37
1/04/2009,70.75
1/05/2009,70.59
1/06/2009,70.26
1/07/2009,69.97
1/08/2009,69.93
1/09/2009,69.66
1/10/2009,69.41
1/11/2009,69.24
1/12/2009,69.24
1/01/2010,69.65
1/02/2010,70.47
1/03/2010,70.83
1/04/2010,71.64
1/05/2010,71.67
1/06/2010,71.74
1/07/2010,71.62
1/08/2010,71.71
1/09/2010,71.40
1/10/2010,71.19
1/11/2010,71.47
1/12/2010,72.45
1/01/2011,73.28
1/02/2011,73.57
1/03/2011,73.91
1/04/2011,73.97
1/05/2011,74.30
1/06/2011,74.57
1/07/2011,74.73
1/08/2011,74.75
1/09/2011,75.21
1/10/2011,75.43
1/11/2011,75.38
1/12/2011,75.74
1/01/2012,76.51
1/02/2012,76.87
1/03/2012,76.87
1/04/2012,76.85
1/05/2012,77.24
1/06/2012,77.12
1/07/2012,76.79
1/08/2012,76.89
1/09/2012,77.25
1/10/2012,77.41
1/11/2012,76.96
1/12/2012,76.87
1/01/2013,77.07
1/02/2013,77.17
1/03/2013,77.20
1/04/2013,77.51
1/05/2013,77.78
1/06/2013,77.88
1/07/2013,77.63
1/08/2013,77.73
1/09/2013,78.14
1/10/2013,77.49
1/11/2013,76.84
1/12/2013,77.01
1/01/2014,77.45
1/02/2014,77.87
1/03/2014,78.29
1/04/2014,78.99
1/05/2014,79.67
1/06/2014,79.66
1/07/2014,80.03
1/08/2014,80.33
1/09/2014,80.50
1/10/2014,80.59
1/11/2014,80.61
1/12/2014,80.54
1/01/2015,81.14
1/02/2015,82.27
1/03/2015,83.03
1/04/2015,83.67
1/05/2015,83.83
1/06/2015,83.55
1/07/2015,83.80
1/08/2015,84.48
1/09/2015,85.37
1/10/2015,86.39
1/11/2015,87.31
1/12/2015,88.16
1/01/2016,90.05
1/02/2016,91.31
1/03/2016,92.74
1/04/2016,93.15
1/05/2016,93.89
1/06/2016,94.41
1/07/2016,95.37
1/08/2016,94.18
1/09/2016,93.66
1/10/2016,93.27
1/11/2016,93.40
1/12/2016,93.90
1/01/2017,95.12
1/02/2017,95.70
1/03/2017,96.01
1/04/2017,96.49
1/05/2017,96.73
1/06/2017,96.58
1/07/2017,96.41
1/08/2017,96.66
1/09/2017,96.56
1/10/2017,96.49
1/11/2017,96.60
1/12/2017,96.77
1/01/2018,97.50
1/02/2018,97.83
1/03/2018,97.96
1/04/2018,98.86
1/05/2018,99.19
1/06/2018,99.23
1/07/2018,98.89
1/08/2018,99.10
1/09/2018,99.40
1/10/2018,99.55
1/11/2018,99.66
1/12/2018,100.00
1/01/2019,100.75
1/02/2019,101.05
1/03/2019,101.91
1/04/2019,102.71
1/05/2019,103.24
1/06/2019,103.58
1/07/2019,104.02
1/08/2019,104.00
1/09/2019,104.34
1/10/2019,104.63
1/11/2019,104.62
1/12/2019,104.68
1/01/2020,105.02
1/02/2020,105.80
1/03/2020,107.05
1/04/2020,107.87
1/05/2020,107.13
1/06/2020,106.16
1/07/2020,105.88
1/08/2020,105.86
1/09/2020,106.40
1/10/2020,106.11
1/11/2020,106.19
1/12/2020,106.88
1/01/2021,107.79
1/02/2021,108.28
1/03/2021,109.49
1/04/2021,111.04
1/05/2021,114.20
1/06/2021,113.72
1/07/2021,114.22
1/08/2021,115.04
1/09/2021,115.95
1/10/2021,116.68
1/11/2021,117.88
1/12/2021,119.71
1/01/2022,122.99
1/02/2022,125.96
1/03/2022,128.46
1/04/2022,131.13
1/05/2022,132.88
1/06/2022,134.03
1/07/2022,135.69
1/08/2022,138.11
1/09/2022,140.16
1/10/2022,141.75
1/11/2022,143.43
1/12/2022,146.29
1/01/2023,149.30
1/02/2023,151.87
1/03/2023,153.87
1/04/2023,154.91
1/05/2023,155.20
1/06/2023,155.45
1/07/2023,156.52
1/08/2023,158.32
1/09/2023,159.59
1/10/2023,160.04
1/11/2023,161.19
1/12/2023,161.64
1/01/2024,163.08
1/02/2024,164.11
1/03/2024,165.11
1/04/2024,166.28
1/05/2024,167.03
1/06/2024,167.64
1/07/2024,167.95
1/08/2024,167.37
